Date,Open,High,Low,Close,Volume
2015-01-02,18747.945911819865,18963.94182335351,18747.945911819865,18882.79296875,0
2015-01-05,18902.042015084364,19052.63876920208,18821.99275153801,18851.7421875,0
2015-01-06,18752.544370607608,18752.544370607608,18263.25287863388,18312.001953125,0
2015-01-07,18323.052458078553,18423.65015722524,18133.354888330367,18308.501953125,0
2015-01-08,18487.80017011513,18690.196726675258,18476.0992198951,18661.74609375,0
2015-01-12,18651.64572027917,18732.843396715398,18578.047508869488,18714.244140625,0
2015-01-13,18775.0452311738,18838.243254433994,18627.64762880582,18688.146484375,0
2015-01-14,18739.196199364473,18809.944860662778,18588.298664013095,18682.845703125,0
2015-01-15,18943.441079637123,19043.58761553591,18835.292742553036,18926.240234375,0
2015-01-16,18948.74035631789,19125.737000602185,18875.892128087395,19058.189453125,0
2015-01-19,19095.73701643279,19221.834231453486,19095.73701643279,19131.986328125,0
2015-01-20,19193.136267706013,19229.23519296432,19100.138030130965,19169.3359375,0
2015-01-21,19232.78679364432,19290.9360849535,19125.73803615746,19216.0859375,0
2015-01-22,19217.084702343105,19333.582492572135,19141.73652219883,19254.935546875,0
2015-01-27,19502.53021080588,19569.827761548157,19404.381683149622,19550.6796875,0
2015-01-28,19535.3797175721,19775.324388302226,19512.729756264718,19681.2265625,0
2015-01-29,19664.97656724238,19729.676511767568,19586.179233892883,19665.2265625,0
2015-02-02,19572.12993011893,19738.97638476075,19536.93137690326,19729.576171875,0
2015-02-03,19810.873993427518,19862.42379627219,19515.93037265063,19552.029296875,0
2015-02-04,19627.478383906546,19635.978223144335,19350.134020100508,19413.982421875,0
2015-02-05,19422.6832059798,19495.53143669832,19132.83712883159,19195.787109375,0
2015-02-09,18942.64072570027,18983.08917728748,18708.045565758322,18741.994140625,0
2015-02-10,18672.395798763228,19120.336520416266,18638.146448447522,18945.140625,0
2015-02-11,19036.588713918616,19323.684839544294,19036.588713918616,19286.333984375,0
2015-02-12,19417.83104017536,19595.577669948238,19386.683193265002,19571.578125,0
2015-02-13,19639.428142308734,19738.176268659612,19579.577715412048,19660.927734375,0
2015-02-18,19613.577189493364,19683.927417594095,19566.47847348423,19667.2265625,0
2015-02-19,19760.1755458795,19791.573387150962,19416.68206864049,19644.927734375,0
2015-02-20,19735.926978667576,19788.724806790673,19572.18008006806,19696.02734375,68900
2015-02-23,19826.373488364377,19836.12330321106,19493.229424293073,19541.078125,0
2015-02-24,19572.827250818696,19577.077170051944,19406.83040547297,19526.828125,0
2015-02-25,19616.679239048848,19664.87754491729,19454.432312024637,19489.880859375,0
2015-02-26,19506.530857918966,19506.530857918966,19198.93707561612,19279.634765625,0
2015-02-27,19349.133711186267,19728.876522464234,19349.133711186267,19706.126953125,0
2015-03-02,19838.87335012013,19991.520842664242,19707.47545414293,19957.720703125,0
2015-03-03,19997.07021484317,20113.16957691524,19953.471431794675,20094.96875,0
2015-03-04,20268.865302326674,20275.31439867454,19813.174732462507,19860.822265625,0
2015-03-05,19920.47172557559,19999.021016775303,19784.675473454026,19974.37109375,81400
2015-03-09,19898.72321738501,19958.37247972131,19689.127572592108,19721.876953125,0
2015-03-10,19784.524751733967,19931.42235328757,19673.927242218648,19750.875,0
2015-03-11,19800.97463475377,19822.47422761211,19643.7783928573,19699.177734375,0
2015-03-12,19774.42526179117,20069.86887002039,19774.42526179117,20055.619140625,0
2015-03-13,20176.267472871943,20193.065982184384,19725.026036812575,19759.07421875,109000
2015-03-16,19811.074288936343,19811.47467198399,19558.5790674751,19608.37890625,0
2015-03-17,19703.927710411364,19937.2221213794,19703.927710411364,19908.97265625,0
2015-03-18,19976.870684557336,20061.019477387712,19877.47218128436,19955.3203125,0
2015-03-19,20103.81803175282,20217.417440302892,19834.22353413902,19880.5234375,0
2015-03-20,19895.972459264784,19895.972459264784,19532.379742190908,19576.478515625,0
2015-03-23,19620.22833935415,19631.77890203495,19369.23308889173,19404.482421875,0
2015-03-24,19407.080683002852,19468.88029069332,19278.883898678643,19336.08203125,0
2015-03-25,19394.131854876247,19414.830680715037,19309.733066333913,19343.68359375,0
2015-03-26,19276.035955343323,19300.834314627267,19085.68994467514,19111.689453125,0
2015-03-30,19242.186719258527,19422.232140925844,19242.186719258527,19407.3828125,0
2015-03-31,19509.828777511688,19587.678861839737,19347.43342347986,19441.330078125,0
2015-04-06,19729.37670284691,19848.573666285563,19634.978098326497,19819.375,0
2015-04-07,19884.973397206864,20058.819717510272,19758.626178247996,20027.37109375,0
2015-04-08,20136.118025001324,20235.166927328868,20083.818235859726,20180.267578125,0
2015-04-09,20303.96495549335,20307.015678948104,20068.969407429213,20206.767578125,0
2015-04-15,20559.911772731808,20611.209630263947,20271.26684347928,20335.666015625,0
2015-04-16,20381.463397449945,20403.462980575987,20020.271022997607,20202.06640625,0
2015-04-20,19951.22192082269,19951.321528312063,19354.53399773161,19499.681640625,0
2015-04-21,19544.779938355885,19582.92960589109,19317.233470027586,19372.533203125,0
2015-04-22,19455.63145526448,19478.631019587625,19116.08710594565,19383.982421875,0
2015-04-23,19492.97958608574,19601.877909560582,19396.631805621633,19446.48046875,0
2015-04-27,19191.188011377497,19212.586044391766,18743.69647028318,18804.9453125,0
2015-04-28,18755.99324216581,19143.235884486698,18675.895154668724,19119.88671875,0
2015-04-29,19159.486403951363,19197.585291087667,19002.838982883673,19163.486328125,0
2015-05-04,19305.035380255187,19555.829466485633,19261.485422426947,19523.48046875,0
2015-05-05,19540.629387390578,19687.726206889416,19494.43104485024,19668.9765625,0
2015-05-06,19611.27791772722,19701.426596177236,18979.338748140635,19024.48828125,0
2015-05-07,18987.7392145217,18987.7392145217,18358.25116245566,18522.3984375,0
2015-05-11,19057.08744717486,19363.081638312367,19045.738053251887,19342.3828125,0
2015-05-12,19359.483042148797,19359.483042148797,18935.59067782532,18979.640625,0
2015-05-13,19120.188588890738,19410.831520762556,19066.539214541986,19383.8828125,0
2015-05-14,19368.28417876477,19647.077735513838,19262.235402665003,19626.478515625,0
2015-05-18,19770.225676769183,19954.1225891814,19745.27692989796,19929.923828125,0
2015-05-19,19915.32239999146,20040.421595483655,19840.024996572196,19922.423828125,0
2015-05-20,20030.51992021217,20100.717805585973,19908.62184498443,19948.171875,0
2015-05-21,19970.371352798436,19986.271441950612,19808.124429072912,19881.0234375,0
2015-05-25,19872.223169588535,19976.371587328682,19799.675715730915,19899.322265625,0
2015-05-26,19939.422576280598,20027.3193465811,19801.175198515273,19873.423828125,0
2015-05-27,19729.07438880884,19804.174524491802,19626.627116440322,19738.025390625,0
2015-05-28,19756.325007320553,19763.074879468873,19413.032681614997,19591.728515625,0
2015-05-29,19650.976904602943,19901.372546168852,19611.327265981752,19874.97265625,0
