Date,Open,High,Low,Close,Volume
2015-01-01,6767.591332554148,6794.2412003821,6754.991251216998,6786.09130859375,4409100
2015-01-02,6792.391208065692,6883.040994377485,6792.391208065692,6866.44140625,6177400
2015-01-05,6877.341283088426,6913.24113941996,6848.241222729214,6857.44140625,6143300
2015-01-06,6817.640900908698,6817.640900908698,6646.391127012381,6656.791015625,7169100
2015-01-07,6653.641101774426,6680.491163916913,6605.391165593153,6644.94140625,7233000
2015-01-08,6715.341360765294,6758.241207294862,6707.991272671762,6755.44140625,6548900
2015-01-09,6798.441386230432,6811.290978955569,6727.3413807020315,6782.9912109375,6561500
2015-01-12,6790.591340125435,6819.09130337027,6763.191473118104,6815.041015625,5650600
2015-01-13,6835.241167194943,6846.6913477110065,6777.691436875784,6801.39111328125,6331000
2015-01-14,6810.191376400878,6828.891059216825,6759.54105136592,6787.14111328125,6173400
2015-01-15,6897.140678959167,6962.140592036307,6870.941006964124,6937.49072265625,9081800
2015-01-16,6945.09084210185,6970.940905308347,6913.3408844142505,6961.44091796875,7934000
2015-01-19,6988.290532452147,7013.290499281578,6984.440928184897,6992.140625,7531300
2015-01-20,7013.140713441134,7088.54051699299,7013.140713441134,7080.640625,7155300
2015-01-21,7100.490721480311,7116.990699919072,7071.8906611970015,7099.5908203125,7401500
2015-01-22,7111.640638287379,7136.090801749607,7092.940955615475,7121.8408203125,8283700
2015-01-23,7175.99071521652,7191.890596987924,7137.440960407307,7170.24072265625,8537100
2015-01-27,7197.7407628246065,7236.790517397849,7169.790603381768,7229.04052734375,7533900
2015-01-28,7224.74074417893,7290.440855321148,7210.640664586694,7241.54052734375,8362700
2015-01-29,7234.390654210542,7264.540518012006,7203.2407916874345,7257.24072265625,9683700
2015-01-30,7293.240558836639,7293.240558836639,7140.140659369541,7166.69091796875,11510300
2015-02-02,7164.590831047369,7196.590789658948,7141.990762621817,7172.890625,8626700
2015-02-03,7196.740645577649,7203.740636478965,7124.190935191259,7137.44091796875,8735100
2015-02-04,7164.790454195404,7164.790454195404,7095.290544897059,7108.74072265625,9251200
2015-02-05,7116.7904747080465,7176.690786804856,7056.390651547337,7076.640625,8018500
2015-02-06,7070.040473761105,7087.190841751324,7019.690930836628,7029.44091796875,7899700
2015-02-09,6973.340751962225,6978.640549546919,6915.440927216009,6922.3408203125,7091200
2015-02-10,6889.240816830511,7022.9408339245465,6888.040623117837,6959.890625,8353200
2015-02-11,6990.440972522996,7040.440906555932,6990.340874998809,7031.79052734375,7430400
2015-02-12,7071.140673356587,7117.190906222304,7032.191017160965,7108.19091796875,8811900
2015-02-13,7134.090874739225,7186.290514287042,7129.790587329865,7176.19091796875,8534500
2015-02-16,7200.5907872113285,7227.040460042854,7161.990739465375,7174.99072265625,9275200
2015-02-18,7182.190977455269,7242.44090012856,7182.190977455269,7228.54052734375,10676600
2015-02-19,7245.540523885704,7258.940897346186,7167.9908185315035,7242.8408203125,9192900
2015-02-20,7250.740669445293,7250.740669445293,7194.890643659179,7209.390625,8752600
2015-02-23,7233.3407089458315,7237.140508701279,7134.490739594576,7147.54052734375,7086600
2015-02-24,7162.540506638672,7171.440885709649,7123.190948345284,7146.5908203125,7424400
2015-02-25,7177.440874790834,7204.740644027245,7134.240735577414,7144.19091796875,6718500
2015-02-26,7154.740621395239,7154.740621395239,7066.04054235292,7077.49072265625,8402100
2015-02-27,7111.090947950713,7217.040518658664,7111.090947950713,7210.29052734375,11155200
2015-03-02,7281.840355844202,7307.990223204064,7234.940516244127,7299.64013671875,9573800
2015-03-03,7309.490282301824,7352.590322658158,7288.040115506531,7345.5400390625,8525200
2015-03-04,7426.789841866572,7428.090133091019,7260.5903577870595,7279.7900390625,10964100
2015-03-05,7287.790059855469,7314.790023752602,7238.490321088868,7303.34033203125,8043700
2015-03-09,7267.1405012634,7267.1405012634,7162.290539245497,7171.49072265625,7493000
2015-03-10,7184.390569531435,7198.990648221596,7116.740755067515,7141.69091796875,6779600
2015-03-11,7156.140586532331,7166.1908664177,7115.790541403474,7126.5908203125,7483600
2015-03-12,7158.840876664898,7209.790518070133,7158.840876664898,7202.5908203125,8047600
2015-03-13,7253.740521622395,7253.740521622395,7089.190931949913,7099.890625,8042700
2015-03-16,7111.040485275491,7111.290484947853,7064.540546216234,7078.94091796875,6214200
2015-03-17,7122.090861744755,7166.390608984442,7087.240809281975,7154.04052734375,6891900
2015-03-18,7172.640578723968,7175.090770851496,7120.6406463179865,7137.04052734375,7576300
2015-03-19,7189.540406029671,7217.690759854608,7086.240736382549,7096.74072265625,7148400
2015-03-20,7096.190828207594,7096.190828207594,7016.040543382473,7028.19091796875,8459200
2015-03-23,7045.790463441092,7053.090746731191,6990.14063487739,6997.5908203125,6166900
2015-03-24,6991.690908737303,7040.140551416273,6980.290533254626,6984.74072265625,6053900
2015-03-25,7005.240679013763,7006.290482304423,6963.690929611251,6972.44091796875,6087400
2015-03-26,6934.191293341509,6945.640985673881,6836.141126247529,6846.2412109375,8532100
2015-03-27,6889.091254035991,6894.741149126894,6778.441493734845,6846.59130859375,7254100
2015-03-30,6889.340927595162,6976.740713605378,6889.191025450939,6969.94091796875,5845800
2015-03-31,7001.690886658995,7020.790470641356,6952.340854612946,6978.140625,7307600
2015-04-01,6975.790638248741,7068.840808946234,6964.640750556343,7060.19091796875,6154000
2015-04-06,7087.040579024019,7131.540521095539,7059.640712348465,7126.74072265625,7069400
