Date,Open,High,Low,Close,Volume
2020-10-16,5000.0,5000.0,5000.0,5000.0,0
2020-10-19,5019.000053405762,5019.000053405762,5019.000053405762,5019.000053405762,0
2020-10-20,5031.650066375732,5031.650066375732,5031.650066375732,5031.650066375732,0
2020-10-21,5031.400203704834,5031.400203704834,5031.400203704834,5031.400203704834,0
2020-10-22,5070.099830627441,5070.099830627441,5070.099830627441,5070.099830627441,0
2020-10-23,5105.500221252441,5105.500221252441,5105.500221252441,5105.500221252441,0
2020-10-26,5050.600051879883,5050.600051879883,5050.600051879883,5050.600051879883,0
2020-10-27,5060.150146484375,5060.150146484375,5060.150146484375,5060.150146484375,0
2020-10-28,5018.94998550415,5018.94998550415,5018.94998550415,5018.94998550415,0
2020-10-29,4977.449893951416,4977.449893951416,4977.449893951416,4977.449893951416,0
2020-10-30,4978.449821472168,4978.449821472168,4978.449821472168,4978.449821472168,0
2020-11-02,4914.400100708008,4914.400100708008,4914.400100708008,4914.400100708008,0
2020-11-03,4926.449775695801,4926.449775695801,4926.449775695801,4926.449775695801,0
2020-11-04,4927.350044250488,4927.350044250488,4927.350044250488,4927.350044250488,0
2020-11-05,5007.24983215332,5007.24983215332,5007.24983215332,5007.24983215332,0
2020-11-06,5031.650066375732,5031.650066375732,5031.650066375732,5031.650066375732,0
2020-11-09,5051.750183105469,5051.750183105469,5051.750183105469,5051.750183105469,0
2020-11-10,5042.349815368652,5042.349815368652,5042.349815368652,5042.349815368652,0
2020-11-11,5069.799900054932,5069.799900054932,5069.799900054932,5069.799900054932,0
2020-11-12,5128.950119018555,5128.950119018555,5128.950119018555,5128.950119018555,0
2020-11-13,5176.700115203857,5176.700115203857,5176.700115203857,5176.700115203857,0
2020-11-17,5249.499797821045,5249.499797821045,5249.499797821045,5249.499797821045,0
2020-11-18,5282.450199127197,5282.450199127197,5282.450199127197,5282.450199127197,0
2020-11-19,5282.400131225586,5282.400131225586,5282.400131225586,5282.400131225586,0
2020-11-20,5338.04988861084,5338.04988861084,5338.04988861084,5338.04988861084,0
2020-11-23,5425.849914550781,5425.849914550781,5425.849914550781,5425.849914550781,0
2020-11-24,5473.700046539307,5473.700046539307,5473.700046539307,5473.700046539307,0
2020-11-25,5423.099994659424,5423.099994659424,5423.099994659424,5423.099994659424,0
2020-11-26,5464.250087738037,5464.250087738037,5464.250087738037,5464.250087738037,0
2020-11-27,5600.8501052856445,5600.8501052856445,5600.8501052856445,5600.8501052856445,0
2020-12-01,5664.3500328063965,5664.3500328063965,5664.3500328063965,5664.3500328063965,0
2020-12-02,5680.3998947143555,5680.3998947143555,5680.3998947143555,5680.3998947143555,0
2020-12-03,5728.700160980225,5728.700160980225,5728.700160980225,5728.700160980225,0
2020-12-04,5756.249904632568,5756.249904632568,5756.249904632568,5756.249904632568,0
2020-12-07,5832.600116729736,5832.600116729736,5832.600116729736,5832.600116729736,0
2020-12-08,5815.9499168396,5815.9499168396,5815.9499168396,5815.9499168396,0
2020-12-09,5857.649803161621,5857.649803161621,5857.649803161621,5857.649803161621,0
2020-12-10,5820.7502365112305,5820.7502365112305,5820.7502365112305,5820.7502365112305,0
2020-12-11,5849.800109863281,5849.800109863281,5849.800109863281,5849.800109863281,0
2020-12-14,5895.85018157959,5895.85018157959,5895.85018157959,5895.85018157959,0
2020-12-15,5907.8497886657715,5907.8497886657715,5907.8497886657715,5907.8497886657715,0
2020-12-16,5963.449954986572,5963.449954986572,5963.449954986572,5963.449954986572,0
2020-12-17,5961.349964141846,5961.349964141846,5961.349964141846,5961.349964141846,0
2020-12-18,5939.400196075439,5939.400196075439,5939.400196075439,5939.400196075439,0
2020-12-21,5652.050018310547,5652.050018310547,5652.050018310547,5652.050018310547,0
2020-12-22,5705.2001953125,5705.2001953125,5705.2001953125,5705.2001953125,0
2020-12-23,5866.950035095215,5866.950035095215,5866.950035095215,5866.950035095215,0
2020-12-24,5910.449981689453,5910.449981689453,5910.449981689453,5910.449981689453,0
2020-12-28,6009.6001625061035,6009.6001625061035,6009.6001625061035,6009.6001625061035,0
2020-12-29,6009.399890899658,6009.399890899658,6009.399890899658,6009.399890899658,0
2020-12-30,6044.600009918213,6044.600009918213,6044.600009918213,6044.600009918213,0
2020-12-31,6057.549953460693,6057.549953460693,6057.549953460693,6057.549953460693,0
2021-01-01,6115.049839019775,6115.049839019775,6115.049839019775,6115.049839019775,0
2021-01-04,6190.100193023682,6190.100193023682,6190.100193023682,6190.100193023682,0
2021-01-05,6225.900173187256,6225.900173187256,6225.900173187256,6225.900173187256,0
2021-01-06,6209.650039672852,6209.650039672852,6209.650039672852,6209.650039672852,0
2021-01-07,6279.049873352051,6279.049873352051,6279.049873352051,6279.049873352051,0
2021-01-08,6323.349952697754,6323.349952697754,6323.349952697754,6323.349952697754,0
2021-01-11,6318.150043487549,6318.150043487549,6318.150043487549,6318.150043487549,0
2021-01-12,6335.899829864502,6335.899829864502,6335.899829864502,6335.899829864502,0
2021-01-13,6318.299770355225,6318.299770355225,6318.299770355225,6318.299770355225,0
2021-01-14,6345.650196075439,6345.650196075439,6345.650196075439,6345.650196075439,0
2021-01-15,6278.299808502197,6278.299808502197,6278.299808502197,6278.299808502197,0
